"label","labelOO","labelCi"
"Giorno della Memoria 2020 - Per Alessandro della Seta","Sede di Museo nazionale etrusco di Villa Giulia","Roma"
"Giorno della Memoria 2022","Sede di Archivio Centrale dello Stato","Roma"
"Giorno della Memoria 2020 - Alessandro della Seta e la collezione Barberini","Sede di Museo nazionale etrusco di Villa Giulia","Roma"
"GIORNO DEL RICORDO - “Dal confine orientale alla Sardegna” Le vittime delle foibe e l’esodo degli istriani, fiumani e dalmati nel secondo dopoguerra","Sede di Biblioteca Universitaria di Sassari","Sassari"
"Gli Arazzi di Palazzo Reale","Sede di Museo nazionale di Palazzo Reale","Pisa"
"Gradazioni di luce: geografie di sguardi tra storia e contemporaneità in Puglia","Sede di Castello svevo di Bari","Bari"
"Giuseppe Zucca, Prigionieri di guerra in Lomellina","Sede di Biblioteca Universitaria di Pavia","Pavia"
"Giovanni Benedetto Castiglione  il Grechetto Il viaggio Abramo","Sede di Gallerie Nazionali di Palazzo Spinola","Genova"
"Gli Ori di Villa Giulia","Sede di Museo nazionale etrusco di Villa Giulia","Roma"
"GTC 2019 Senigallia- Museo Storia della Mezzadria - Evento rimandato a data da destinarsi","Sede di Museo di storia della mezzadria ""Sergio Anselmi""","Senigallia"
"GTC 2019 Senigallia- Rocca Roveresca, evento rimandato a data da destinarsi","Sede di Rocca Roveresca di Senigallia","Senigallia"
"GTC 2019 Senigallia- Biblioteca Antonelliana, evento rimandato a data da destinarsi","Sede di Biblioteca Antonelliana","Senigallia"
"Gli Italiani dell'Altrove: Friulani","Sede di Istituto Centrale per il patrimonio immateriale","Roma"
"Giornate Europee del Patrimonio (GEP 2019) al Parco Archeologico di Ercolano","Sede di Parco archeologico di Ercolano - Area archeologica","Ercolano"
"Giornate Europee del Patrimonio 2019","Sede di Archivio di Stato di Latina","Latina"
"Giornate Europee del Patrimonio 2019 Apertura straordinaria","Sede di Biblioteca Angelica","Roma"
"Gli archivi Periferici del Principato vescovile di Trento nel contesto di riorganizzazione degli strumenti di ricerca dell'Istituto","Sede di Archivio di Stato di Trento","Trento"
"Gli archivi: che spettacolo!","Sede di Palazzo Neroni","Firenze"
"Giornate Europee del Patrimonio 2019 al Museo della Sibaritide","Sede di Museo nazionale archeologico della Sibaritide","Cassano all'Ionio"
"GIORNATE EUROPEE DEL PATRIMONIO Un due tre… Arte! Cultura e intrattenimento Visite Guidate","Sede di Castello Piccolomini - Collezione Torlonia e Museo d'Arte Sacra della Marsica","Celano"
"GIORNATE EUROPEE DEL PATRIMONIO Un due tre… Arte! Cultura e intrattenimento-Apertura Straodinaria","Sede di MUSE' - Nuovo museo Paludi di Celano - Centro di restauro","Celano"
"GIORNATE EUROPEE DEL PATRIMONIO Un due tre… Arte! Cultura e intrattenimento:: L’arte dei guerrieri ","Sede di Museo archeologico nazionale di Campli e Area archeologica di Campovalano","Campli"
"GIORNATE EUROPEE DEL PATRIMONIO a Spoleto - Poesie e melodie per Lucrezia ","Sede di Rocca Albornoz - Museo nazionale del Ducato di Spoleto","Spoleto"
"Giornate Europee del Patrimonio: alla BSI la mostra"" ""Cambiamenti"" di Annalisa Iuri e la visita alla collezione d'arte","Sede di Biblioteca statale Isontina di Gorizia","Gorizia"
"GIORNATE EUROPEE DEL PATRIMONIO 2019 “Un due tre… Arte! Cultura e intrattenimento”","Sede di Museo archeologico nazionale di Taranto - MArTA","Taranto"
"GIORNATE EUROPEE DEL PATRIMONIO 2019 - SPECIALE MINI MAN","Sede di Museo archeologico nazionale di Cividale del Friuli","Cividale del Friuli"
"GIORNATE EUROPEE DEL PATRIMONIO - Uno due tre... Arte! - Cultura e intrattenimento: leggo, condivido, imparo, insegno","Sede di Museo archeologico nazionale e Teatro romano di Spoleto","Spoleto"
"GIORNATE EUROPEE DEL PATRIMONIO - Uno due tre... Arte! - Cultura e intrattenimento: MAN(TR) A(R)T WORK ","Sede di Museo archeologico nazionale e Teatro romano di Spoleto","Spoleto"
"GIORNATE EUROPEE DEL PATRIMONIO - Uno due tre... Arte! - Cultura e intrattenimento: Rincollo, riaggiusto, ricordo! ","Sede di Area archeologica di Carsulae","Terni"
"GIORNATE EUROPEE DEL PATRIMONIO - Uno due tre... Arte! - Cultura e intrattenimento: Rinascimento a Palazzo ","Sede di Palazzo ducale di Gubbio","Gubbio"
"Giornate Europee del Patrimonio 2019 al Museo di Cingoli","Sede di Museo archeologico statale di Cingoli","Cingoli"
"Giornate Europee del Patrimonio-ripulitura del sito dell'antica Fonte Barco di Spoltore","Sede di Ministero della cultura","Spoltore"
"GIORNATE EUROPEE DEL PATRIMONIO: Uno due tre... Arte! - Cultura e intrattenimento: Giochi dal Medioevo ","Sede di Rocca Albornoz - Museo nazionale del Ducato di Spoleto","Spoleto"
"GIORNATE EUROPEE DEL PATRIMONIO: Uno due tre... Arte! - Cultura e intrattenimento: Sulle tracce dei Longobardi. Il riuso consapevole. Trekking in città ","Sede di Rocca Albornoz - Museo nazionale del Ducato di Spoleto","Spoleto"
"GIORNATE EUROPEE DEL PATRIMONIO: Uno due tre... Arte! - Cultura e intrattenimento: Il Tempietto fra arte e letteratura ","Sede di Tempietto sul Clitunno","Campello sul Clitunno"
"GIORNATE EUROPEE DEL PATRIMONIO: Uno due tre... Arte! - Cultura e intrattenimento: Rendez - Vous Gestes","Sede di Tempietto sul Clitunno","Campello sul Clitunno"
"GRANDEZZE&MERAVIGLIE Vivaldi e Bach con estro","Sede di Gallerie Estensi - Galleria estense","Modena"
"GIORNATE EUROPEE DEL PATRIMONIO: Uno due tre... Arte! - Cultura e intrattenimento: I segreti del Tempietto ","Sede di Tempietto sul Clitunno","Campello sul Clitunno"
"GIORNATE EUROPEE DEL PATRIMONIO: Uno due tre... Arte! Cultura e intrattenimento: una Banda al MANU","Sede di Museo archeologico nazionale dell'Umbria","Perugia"
"GIORNATE EUROPEE DEL PATRIMONIO: Uno due tre... Arte! Cultura e intrattenimento: Gli amuleti della collezione Bellucci ","Sede di Museo archeologico nazionale dell'Umbria","Perugia"
"GIORNATE EUROPEE DEL PATRIMONIO: Uno due tre... Arte! Cultura e intrattenimento: Luce in Africa ","Sede di Museo archeologico nazionale dell'Umbria","Perugia"
"GIORNATE EUROPEE DEL PATRIMONIO: Uno due tre... Arte! - Cultura e intrattenimento: I tesori del magazzino del MANOr: vietato non toccare!  ","Sede di Museo archeologico nazionale di Orvieto","Orvieto"
"GIORNATE EUROPEE DEL PATRIMONIO: Uno due tre... Arte! Cultura e intrattenimento: La necropoli e i corredi funebri","Sede di Necropoli etrusca di Crocifisso del Tufo","Orvieto"
"GIORNATE EUROPEE DEL PATRIMONIO: Uno due tre... Arte! Cultura e intrattenimento: Velimna - Gli Etruschi del Fiume ","Sede di Ipogeo dei Volumni e Necropoli del Palazzone","Perugia"
"Gli edifici per spettacolo di Interamnia: teatro e anfiteatro","Sede di Centro visitatori Biotopo protetto e aree archeologiche Torbiera di Fiavé","Fiavè"
"GIORNATE EUROPEE DEL PATRIMONIO: Uno due tre... Arte! - Cultura e intrattenimento: Laboratori di ceramica e di lettura ","Sede di Ipogeo dei Volumni e Necropoli del Palazzone","Perugia"
"GIORNATE EUROPEE DEL PATRIMONIO: Uno due tre... Arte! Cultura e intrattenimento: Quadretti di vita etrusca ","Sede di Ipogeo dei Volumni e Necropoli del Palazzone","Perugia"
"Gli orti del Presidio: un miracolo fragile ","Sede di Archivio di Stato di Padova","Padova"
"GIORNATE EUROPEE DEL PATRIMONIO- Curiosità di un killer prepensionato. Noir in cinque giornate","Sede di Villa del Colle del Cardinale","Perugia"
"Giornate Europee del Patrimonio alla Biblioteca Nazionale Centrale di Roma","Sede di Biblioteca nazionale centrale di Roma","Roma"
"Giornate europee del Patrimonio alla Biblioteca Palatina","Sede di Complesso monumentale della Pilotta - Biblioteca Palatina di Parma","Parma"
"Giornate Europee del patrimonio. Visite alla mostra "" Tutti gli uomini dell'Imperatore"" ","Sede di Gallerie degli Uffizi - Corridoio Vasariano","Firenze"
"Giornate europee del patrimonio. Visite guidate alle Grottesche dei corridoi della Galleria","Sede di Gallerie degli Uffizi – Gli Uffizi","Firenze"
"Green Shakespeare - esperienza multisensoriale","Sede di Grotte di Catullo e Museo Archeologico di Sirmione","Sirmione"
"Grotte di Catullo - apertura straordinaria","Sede di Grotte di Catullo e Museo Archeologico di Sirmione","Sirmione"
"Giovinazzo - Dolmen di San Silvestro","Sede di Dolmen di San Silvestro","Giovinazzo"
"GIORNATE EUROPEE DEL PATRIMONIO Un due tre… Arte! Cultura e intrattenimento Seminario","Sede di Castello Piccolomini - Collezione Torlonia e Museo d'Arte Sacra della Marsica","Celano"
"GIORNATE EUROPEE DEL PATRIMONIO AL MUSEO DI MIRAMARE - TRIESTE","Sede di Museo storico e il Parco del Castello di Miramare","Trieste"
"GIORNATE EUROPEE DEL PATRIMONIO 2019 - Un due tre... Arte! - Cultura e intrattenimento Giocare nei libri   Playing in books","Sede di Biblioteca nazionale Marciana - Sale monumentali","Venezia"
"Giornate Europee del Patrimonio 2019 al Museo e Real Bosco di Capodimonte","Sede di Museo e Real Bosco di Capodimonte","Napoli"
"Giornate Europee del Patrimonio 2019","Sede di Ministero della cultura","Monza"
"Giornate Europee del Patrimonio 2019 - Archivio di Stato di Macerata","Sede di Archivio di Stato di Macerata","Macerata"
"Gli archivi donati: le carte del senatore Alberto Spigaroli","Sede di Archivio di Stato di Piacenza","Piacenza"
"Giornate Europee del Patrimonio 2019","Sede di Palazzo Ducale di Mantova","Mantova"
"GIORNATE EUROPEE DEL PATRIMONIO 2019","Sede di Ministero della cultura","Casella"
"Giornate Europee del Patrimonio 2019- Visitare il Museo attraverso le citazioni Dannunziane","Sede di Museo casa natale di Gabriele d'Annunzio","Pescara"
"Giornate Europee del Patrimonio al Museo Bodoniano","Sede di Museo Bodoniano","Parma"
"Giornate Europee del Patrimonio ai Musei della Pilotta","Sede di Complesso monumentale della Pilotta - Teatro Farnese","Parma"
"Giornate Europee del Patrimonio al Museo Giacomo Manzù","Sede di Museo Giacomo Manzù","Ardea"
"Giornate Europee del Patrimonio all'Archivio di Stato di Mantova","Sede di Archivio di Stato di Mantova","Mantova"
"Gli scavi in diretta ","Sede di Museo archeologico nazionale “Giuseppe Andreassi” e Parco archeologico di Egnazia","Fasano"
"Giornate Europee del Patrimonio nella Biblioteca Reale di Torino","Sede di Musei Reali","Torino"
"Giornate Europee del Patrimonio. La Reggia di Caserta si racconta | Palazzo Reale","Sede di Reggia di Caserta - Palazzo Reale","Caserta"
"Giornate Europee del Patrimonio. La Reggia si racconta | Parco Reale e Giardino Inglese","Sede di Reggia di Caserta - Parco Reale e Giardino Inglese","Caserta"
"Giornate Europee del Patrimonio: uno, due tre .. Arte! - Cultura e intrattenimento","Sede di Gallerie degli Uffizi – Gli Uffizi","Firenze"
"Giornate Europee del Patrimonio 2019. ""Un due tre... Arte! - Cultura e intrattenimento”","Sede di Parco archeologico di Pompei - Area archeologica di Pompei","Pompei"
"GIORNATE EUROPEE DEL PATRIMONIO 2019 “Un due tre... Arte! - Cultura e intrattenimento”","Sede di Parco archeologico di Pompei - Antiquarium di Boscoreale","Boscoreale"
"GIORNATE EUROPEE DEL PATRIMONIO 2019 “Un due tre... Arte! - Cultura e intrattenimento”","Sede di Parco archeologico di Pompei - Scavi di Oplontis","Torre Annunziata"
"Giornate Europee del Patrimonio al Parco Archeologico di Paestum","Sede di Parco archeologico di Paestum e Velia - Area archeologica di Paestum","Capaccio Paestum"
"GIORNATE EUROPEE DEL PATRIMONIO 2019 “Un due tre... Arte! - Cultura e intrattenimento”","Sede di Parco archeologico di Pompei - Scavi archeologici di Stabiae (Villa San Marco)","Castellammare di Stabia"
"Gli Olivieri tra i due mondi ","Sede di Archivio di Stato di Pescara","Pescara"
"Gli Etruschi e la terracotta ","Sede di Museo nazionale etrusco di Villa Giulia","Roma"
"GIOVANI CREATIVI Le origini del Genio","Sede di Museo nazionale romano - Palazzo Massimo","Roma"
"Gli Etruschi e i metalli","Sede di Museo nazionale etrusco di Villa Giulia","Roma"
"Green Family Tour - Giardini della Zisa","Sede di Castello della Zisa","Palermo"
"Gli Etruschi e la tessitura","Sede di Museo nazionale etrusco di Villa Giulia","Roma"
"Gli animali nel tempo","Sede di Pinacoteca Nazionale di Bologna","Bologna"
"GIOVANI CREATIVI. LE ORIGINI DEL GENIO Fotografia tra antico e contemporaneo","Sede di Museo nazionale romano - Palazzo Massimo","Roma"
"GTC 2019 Loreto: Ciak - Si vola","Sede di Museo storico aeronautico","Loreto"
"GTC 2019 Mondolfo - Più di ogni altro dono ","Sede di Chiesa Monumentale S. Agostino","Mondolfo"
"GTC 2019 Montefiore dell'Aso - Museo dell'orologio","Sede di Polo museale di San Francesco","Montefiore dell'Aso"
"GTC 2019 Morro d'Alba. Mostra-concorso di piccoli presepi e alberi di Natale","Sede di Museo Utensilia","Morro d'Alba"
"GTC 2019 Morrovalle- Presepe vivente","Sede di Museo internazionale del presepio di Morrovalle","Morrovalle"
"GTC 2019 Offida - Intrecciamo i fili","Sede di Polo museale di Palazzo De Castellotti","Offida"
"GTC 2019 San Severino Marche - Giovedì in biblioteca","Sede di Biblioteca F. Antolisei","San Severino Marche"
"GTC 2019 Pioraco - Laboratorio di rilegatura a telaio","Sede di Museo della carta e della filigrana di Pioraco","Pioraco"
"GTC 2019 Sant'Elpidio a Mare-La Befana ha perso le scarpe","Sede di Pinacoteca civica ""Vittore Crivelli""","Sant'Elpidio a Mare"
"GTC 2019 Senigallia - Rocca Roveresca, Cronache di Senigallia","Sede di Rocca Roveresca di Senigallia","Senigallia"
"GTC 2019- Morro d'Alba, Domenica nel borgo","Sede di Museo Utensilia","Morro d'Alba"
"GTC 2019 - Museo del Balì, Cercatori di stelle","Sede di Fondazione Villa del Balì","Saltara"
"GTC 2019 - Museo del Balì, La scienza in famiglia","Sede di Fondazione Villa del Balì","Saltara"
"GTC 2019 - Arcevia, Museo archeologico","Sede di Museo archeologico statale di Arcevia","Arcevia"
"Guardare la Galleria con occhi diversi","Sede di Ministero della cultura","Modena"
"Gli archi di Antonio Vivaldi","Sede di Palazzo Carignano","Torino"
"Gli Italiani dell'Altrove: Catalani di Alghero","Sede di Istituto Centrale per il patrimonio immateriale","Roma"
"Gli Uffizi celebrano il primo Dantedì con l’acquisto di ‘Francesca da Rimini nell’inferno dantesco’ (1810), capolavoro giovanile di Nicola Monti","Sede di Gallerie degli Uffizi – Gli Uffizi","Firenze"
"Gli itinerari interattivi del Parco archeologico dell'Appia antica","Sede di Parco Archeologico dell'Appia antica - Acquedotto dei Quintili","Roma"
"Gli itinerari culturali in Molise","Sede di Museo sannitico","Campobasso"
"GRANVIRTUALTOUR A NAPOLI TRA MONUMENTI, CHIESE, PALAZZI E CASTELLI","Sede di Biblioteca nazionale di Napoli ""Vittorio Emanuele III""","Napoli"
"Guardando la Luna dall’abisso di Eros","Sede di Villa romana del Varignano","Portovenere"
"Grand Tour Musei 2020 - Acquaviva Picena, Fortezza","Sede di Fortezza medievale e Museo della Pagliarola","Acquaviva Picena"
"Grand Tour Musei 2020 - Morrovalle, Pinacoteca Lazzarini","Sede di Museo civico pinacoteca ""Palazzo Lazzarini""","Morrovalle"
"Girolamo Frescobaldi (1583-1643) Toccate - Capricci - Fiori musicali","Sede di Biblioteca Vallicelliana","Roma"
"Giornate europee dell'archeologia 2020: Archeologia a Palazzo Besta","Sede di Palazzo Besta","Teglio"
"GIORNATE EUROPEE DELL'ARCHEOLOGIA (19-21 giugno 2020)","Sede di Ufficio di Gabinetto","Roma"
"Giornate europee dell'Archeologia: I restauri di materiali archeologici dell'Opificio delle Pietre Dure","Sede di Ministero della cultura","Roma"
"Gli strumenti musicali giapponesi, visita tattile per non vedenti al Museo d'arte orientale di Venezia","Sede di Museo d’Arte Orientale Venezia","Venezia"
"Gli ultimi giorni del comandante Plinio","Sede di Biblioteca Universitaria di Napoli","Napoli"
"Giovanni Antonio Cybei 1706-1784 Un grande scultore per Modena","Sede di Gallerie Estensi - Galleria estense","Modena"
"Golfo di Salerno #viaggioinitalia #estateitaliana  ","Sede di Ministero della cultura","Roma"
"Grand Tour Musei 2020 - Museo Tattile Statale Omero, Biennale Arteinsieme","Sede di Museo tattile statale Omero","Ancona"
"Grand Tour Musei 2020 - Ascoli Piceno, Musei Civici","Sede di Pinacoteca civica di Ascoli Piceno","Ascoli Piceno"
"Grand Tour Musei 2020 - Cagli, Museo della Via Flaminia","Sede di Museo archeologico e della Via Flaminia","Cagli"
"Grand Tour Musei 2020 - Cerreto D'Esi, Raccolta Antica Farmacia Giuli","Sede di Raccolta di opere d’arte Antica Farmacia Giuli","Cerreto d'Esi"
"Grand Tour Musei 2020 - Civitanova Marche, Pinacoteca Moretti","Sede di Pinacoteca comunale galleria d’arte moderna Marco Moretti","Civitanova Marche"
"Grand Tour Musei 2020  - Fabriano, Pinacoteca Molajoli","Sede di Pinacoteca civica ""Bruno Molajoli""","Fabriano"
"Grand Tour Musei 2020 - Falconara Marittima, Museo della Resistenza","Sede di Museo della Resistenza di Falconara Marittima","Falconara Marittima"
"Grand Toru Musei 2020 - Frontone, Castello della Porta","Sede di Raccolta comunale d’arte della ""Rocca di Frontone""","Frontone"
"Grand Tour Musei 2020 - Rocca di Gradara","Sede di Rocca demaniale di Gradara","Gradara"
"Grand Tour Musei 2020 - Jesi, Museo Diocesano","Sede di Museo diocesano di Jesi","Jesi"
"Grand Tour Musei 2020. La bellezza dormiente di Palazzo Ferretti","Sede di Museo archeologico nazionale delle Marche","Ancona"
"Grand Tour Musei 2020. L'esperienza di ""Archeotouch"": archeologia senza barriere","Sede di Museo archeologico nazionale delle Marche","Ancona"
"Grand Tour Musei 2020 - Jesi, Musei civici","Sede di Pinacoteca civica e galleria di arte contemporanea di Jesi","Jesi"
"Grand Tour Musei 2020. Biennale ""Arteinsieme"" edizione speciale","Sede di Museo tattile statale Omero","Ancona"
"Gran Tour Musei 2020 - Macerata, Ecomuseo Villa Ficana","Sede di Ministero della cultura","Roma"
"Grand Tour Musei 2020 - Acqualagna, Museo del Tartufo","Sede di Ministero della cultura","Roma"
"Grand Tour Musei 2020 - Cagli, Torrione e Centro Scultura Contemporanea","Sede di Ministero della cultura","Roma"
"Grand Tour Musei 2020 - Jesi, Biblioteca Planettiana","Sede di Ministero della cultura","Roma"
"Grand Tour Musei 2020  - Macerata, Museo della Scuola","Sede di Ministero della cultura","Roma"
"Grand Tour Musei 2020 - Mombaroccio, Museo della Civiltà contadina","Sede di Museo della civiltà contadina di Mombaroccio","Mombaroccio"
"Grand Tour Musei 2020 - Monteprandone, Museo Sistino San Giacomo della Marca","Sede di Museo del Santuario di San Giacomo della Marca di Monteprandone - Musei sistini del piceno","Monteprandone"
"Grand Tour Musei 2020 - Morro d'Alba, Museo Utensilia","Sede di Museo Utensilia","Morro d'Alba"
"Grand Tour Museo - Osimo, Museo del Figurino","Sede di Ministero della cultura","Roma"
"Grand Tour Musei 2020. La tomba della Regina. Connessioni picene a Numana","Sede di Antiquarium statale di Numana","Numana"
"Grand Tour Musei 2020. Marmi, bronzi e affreschi: Urbs Salvia e il suo Museo","Sede di Museo archeologico statale e Parco archeologico di Urbs Salvia","Urbisaglia"
"Grand Tour Musei. ""Toccare l'arte alla radio"" propone un incontro con Aron Demetz a cura di Monica Bernacchia.","Sede di Museo tattile statale Omero","Ancona"
"Grand Tour Musei 2020. Il museo di tutti e per tutti","Sede di Museo tattile statale Omero","Ancona"
"Grand Tour Musei 2020 - Ostra Vetere, Polo Museale Terra di Montenovo","Sede di Ministero della cultura","Roma"
"Grand Tour Musei 2020 - Pergola, Musei dei Bronzi dorati","Sede di Museo dei ""Bronzi dorati e della Città di Pergola""","Pergola"
"Grand Tour Musei 2020 - Pesaro, Musei Civici","Sede di Musei civici di Pesaro","Pesaro"
"Grand Tour Musei 2020 - Petriolo, Museo dei Legni processionali","Sede di Museo dei legni processionali ""Mons. M. Manfroni"" della Confraternita del SS. sacramento","Petriolo"
"Grand Tour Musei 2020- San Severino Marche, Museo archeologico Moretti","Sede di Museo archeologico ""G. Moretti""","San Severino Marche"
"Grand Tour Musei 2020 - Sassoferrato, Galleria Civica Arte Contemporanea","Sede di Ministero della cultura","Roma"
"Grand Tour Musei 2020 - Senigallia, Musinf","Sede di Museo di arte moderna, dell’informazione e della fotografia","Senigallia"
"Grand Tour Musei 2020 - Ripe, Museo Nori de' Nobili","Sede di Museo Nori de' Nobili","Ripe"
"Grand Tour Musei 2020 - Treia, Musei civici","Sede di Museo civico archeologico di Treia","Treia"
"Grand Tour Musei 2020 - Urbania, Musei civici","Sede di Musei di Palazzo ducale","Urbania"
"Grand Tour Musei 2020 - Urbino, Museo Albani","Sede di Museo diocesano Albani","Urbino"
"Grand Tour Musei 2020 - Jesi, Museo Federico II","Sede di Museo Federico II - Stupor Mundi","Jesi"
"Grand Tour Musei 2020 - Macerata, Palazzo Ricci","Sede di Museo Palazzo Ricci Arte italiana del '900","Macerata"
"Grand Tour Musei 2020- Recanati Museo dell'Emigrazione","Sede di Museo di arte contemporanea e dei pittori dell’emigrazione","Recanati"
"Grand Tour Musei 2020 - Sant'Elpidio a Mare, Pinacoteca Civica","Sede di Pinacoteca civica ""Vittore Crivelli""","Sant'Elpidio a Mare"
"Giovanni Battista Costa","Sede di Biblioteca Universitaria di Pavia","Pavia"
"Grand Tour Musei 2020 - Ascoli Piceno, Pinacoteca civica","Sede di Pinacoteca civica di Ascoli Piceno","Ascoli Piceno"
"Grand Tour Musei 2020 - Corridonia, Musei civici","Sede di Pinacoteca comunale di Corridonia","Corridonia"
"Grand Tour Musei 2020 - Cupra Marittima, Museo archeologico ","Sede di Museo archeologico del territorio di Cupra Marittima","Cupra Marittima"
"Grand Tour Musei 2020 - Fabriano, Museo della Carta e della Filigrana","Sede di Museo della carta e della filigrana di Fabriano","Fabriano"
"Gran Tour Musei 2020 - Fano, Museo archeologico e Pinacoteca","Sede di Museo archeologico e Pinacoteca del Palazzo Malatestiano","Fano"
"Giro della Toscana in 49 musei. 24 - Cortona (AR) - Il Tumulo di Camucia e i circoli funerari del Sodo ","Sede di Area archeologica del Sodo e Tomba di Camucia","Cortona"
"Grand Tour Musei 2020 - Jesi, Musei civici Palazzo Pianetti","Sede di Pinacoteca civica e galleria di arte contemporanea di Jesi","Jesi"
"Grand Tour Musei 2020 - Macerata Musei","Sede di Musei civici - Pinacoteca e museo della carrozza","Macerata"
"Grand Tour Musei 2020 - Morro d'Alba,Museo Utensilia","Sede di Museo Utensilia","Morro d'Alba"
"Grand Tour Musei 2020 - Sassoferrato, Pinacoteca civica","Sede di Civica raccolta d’arte e raccolta incisori marchigiani","Sassoferrato"
"Grand Tour Musei 2020 - Senigallia, Area archeologica La Fenice","Sede di Area archeologica e museo ""La Fenice""","Senigallia"
"Grazie a tutti i nostri visitatori!","Sede di Anfiteatro campano","Santa Maria Capua Vetere"
"GIRLS NOT BRIDES. Spose bambine in Bangladesh al Museo archeologico di Pontecagnano!","Sede di Museo archeologico nazionale di Pontecagnano e Parco archeologico di Pontecagnano","Pontecagnano Faiano"
"Grand Tour e Campi flegrei nelle vedute del Museo di San Martino. Conversazione tra arte e archeologia","Sede di Certosa e Museo di San Martino","Napoli"
"Giornate europee dell'archeologia 2020: Le Grotte dopo Catullo","Sede di Grotte di Catullo e Museo Archeologico di Sirmione","Sirmione"
"Giornate europee dell'archeologia 2020: Dal frammento al reperto","Sede di Villa Romana e Antiquarium","Desenzano del Garda"
"Giornate europee dell'archeologia - maratona social sui canali del Parco Archeologico di Ercolano","Sede di Parco archeologico di Ercolano - Area archeologica","Ercolano"
"Giornate Europee dell’Archeologia 2020 La bellezza in un tocco, percorsi sensoriali al MANaM. La Sfinge","Sede di Museo archeologico nazionale delle Marche","Ancona"
"Giornate Europee dell'Archeologia","Sede di Parco archeologico di Monte Sannace","Gioia del Colle"
"Giornate Europee dell'Archeologia","Sede di Museo archeologico nazionale e Castello di Gioia del Colle","Gioia del Colle"
"Giornate Europee dell’Archeologia 2020 La bellezza in un tocco, percorsi sensoriali al MANaM. Eracle.","Sede di Museo archeologico nazionale delle Marche","Ancona"
"Giornate Europee dell’Archeologia 2020. Mitico Eracle!","Sede di Museo archeologico nazionale delle Marche","Ancona"
"Giornate Europee dell’Archeologia: 19, 20 e 21 giugno 2020. Alla scoperta degli esperti del Parco Archeologico di Pompei","Sede di Parco archeologico di Pompei - Area archeologica di Pompei","Pompei"
"Giornate Europee dell’Archeologia 2020. La memoria oltre la vita.","Sede di Museo archeologico statale di Arcevia","Arcevia"
"Giornate Europee del Patrimonio 2020 - ""Lungo come la Fabbrica del Duomo""","Sede di Museo del Duomo di Milano","Milano"
"Giornate Europee del patrimonio 2020","Sede di Archivio di Stato di Forlì-Cesena","Forlì"
"Gli oggetti raccontano la Grande Guerra: vita in Trincea VS vita in Fortezza","Sede di Direzione regionale Musei Lombardia","Valdisotto"
"Giornate Europee del Patrimonio 2020","Sede di Archivio di Stato di Avellino","Avellino"
"Giornate Europee del Patrimonio 2020 Museo Archeologico Nazionale d’Abruzzo - Campli","Sede di Museo archeologico nazionale di Campli e Area archeologica di Campovalano","Campli"
"Giornate Europee del Patrimonio 2020.","Sede di Raccolta d'arte Carlo Lamberti","Codogno"
"Giornate Europee del Patrimonio 2020 – Museo Vallivo Valfurva","Sede di Museo Vallivo Valfurva Mario Testorelli","Valfurva"
"Giornate Europee del Patrimonio 2020","Sede di Archivio di Stato di Terni","Terni"
"Giovedì sera a Palazzo_Aperture straordinarie serali_Piano di valorizzazione 2020","Sede di Galleria Nazionale delle Marche","Urbino"
"Giornate Europee del Patrimonio a L’Alca di Maglie","Sede di Alca - Museo e Biblioteca comunali","Maglie"
"Giornate Europee del Patrimonio 2020 Castello Piccolomini","Sede di Castello Piccolomini - Collezione Torlonia e Museo d'Arte Sacra della Marsica","Celano"
"Guardare il cielo","Sede di Direzione regionale Musei Lombardia","Lumezzane"
"Giornate europee del patrimonio 2020 – ingresso gratuito","Sede di Musei civici ""Luigi Barni""","Vigevano"
"Giornate Europee del Patrimonio 2020","Sede di Archivio di Stato di Lucca","Lucca"
"Giornate Europee del Patrimonio 2020 Museo universitario dell’Università “G. d’Annunzio” di Chieti - Pescara","Sede di Museo universitario d'Abruzzo - Museo di storia delle scienze biomediche","Chieti"
"Giornate Europee del Patrimonio al Museo del Territorio","Sede di Direzione Regionale Musei Puglia","Neviano"
"Giornate Europee del Patrimonio (GEP 2020)","Sede di Archivio di Stato di Trapani","Trapani"
"Giornate Europee del Patrimonio 2020 Fondazione delle Genti d’Abruzzo Onlus","Sede di Direzione Regionale Musei Abruzzo","Pescara"
"Giornate Europee del Patrimonio 2020 nel Parco Archeologico dell'Appia Antica: apertura straordinaria del Complesso di Capo di Bove","Sede di Parco archeologico dell'Appia antica - Villa di Capo di Bove","Roma"
"Giornate Europee del Patrimonio 2020 nel Parco Archeologico dell'Appia Antica: apertura straordinaria del Complesso di Capo di Bove_Copia","Sede di Parco archeologico dell'Appia antica - Parco delle Tombe della via Latina e Basilica di Santo Stefano","Roma"
"Giornate Europee del Patrimonio 2020 nel Parco Archeologico dell'Appia Antica: apertura straordinaria del Complesso di Capo di Bove_Copia_Copia","Sede di Parco archeologico dell'Appia antica - Villa dei Quintili e Santa Maria Nova","Roma"
"Giornate Europee del Patrimonio 2020 nel Parco Archeologico dell'Appia Antica: apertura straordinaria del Complesso di Capo di Bove_Copia_Copia_Copia","Sede di Parco archeologico dell'Appia antica - Villa di Capo di Bove","Roma"
"Giornate Europee del Patrimonio 2020 nel Parco Archeologico dell'Appia Antica: apertura straordinaria del Complesso di Capo di Bove_Copia_Copia_Copia_Copia","Sede di Parco archeologico dell'Appia antica - Antiquarium di Lucrezia Romana","Roma"
